generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
6,multi-cutcat-unif,452,727,219,1.23828125,0.85422186,0,0.002207383,1.0
6,multi-cutcat-unif,498,106,105,1.22265625,0.199775285,0,0.00148083,1.0
7,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
7,multi-cutcat-unif,114,202,117,1.69921875,0.656209977,0,0.001579195,1.0
7,multi-cutcat-unif,492,167,650,1.1396484375,0.193631279,0,0.002668866,1.0
7,multi-cutcat-unif,498,106,105,1.22265625,0.199775285,0,0.00148083,1.0
7,multi-cutcat-unif,460,106,648,1.2216796875,0.199400486,0,0.003252229,1.0
7,multi-cutcat-unif,452,215,139,1.23828125,0.333160865,0,0.001757002,1.0
7,multi-cutcat-unif,500,223,154,1.22265625,0.342930038,0,0.001799101,1.0
7,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
7,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
7,multi-cutcat-unif,498,134,106,1.2216796875,0.239850676,0,0.001450903,1.0
8,multi-cutcat-unif,492,215,650,1.1357421875,0.245636295,0,0.002669236,1.0
8,multi-cutcat-unif,114,202,117,1.69921875,0.656209977,0,0.001579195,1.0
8,multi-cutcat-unif,492,167,650,1.1396484375,0.193631279,0,0.002668866,1.0
8,multi-cutcat-unif,498,106,105,1.22265625,0.199775285,0,0.00148083,1.0
8,multi-cutcat-unif,498,138,104,1.2216796875,0.232168432,0,0.001347518,1.0
8,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
8,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
8,multi-cutcat-unif,498,134,106,1.2216796875,0.239850676,0,0.001450903,1.0
8,multi-cutcat-unif,492,175,714,1.1396484375,0.197483162,0,0.002819341,1.0
8,multi-cutcat-unif,488,167,202,1.1396484375,0.192644403,0,0.00140672,0.9998
9,multi-cutcat-unif,492,167,650,1.1396484375,0.193631279,0,0.002668866,1.0
9,multi-cutcat-unif,114,134,105,1.7216796875,0.417965809,0,0.001606077,1.0
9,multi-cutcat-unif,498,106,105,1.22265625,0.199775285,0,0.00148083,1.0
9,multi-cutcat-unif,498,198,104,1.1982421875,0.218737749,0,0.001040648,0.9965999999999999
9,multi-cutcat-unif,508,118,122,1.0732421875,0.147417562,0,0.001015119,0.9971
9,multi-cutcat-unif,498,138,104,1.2216796875,0.232168432,0,0.001347518,1.0
9,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
9,multi-cutcat-unif,114,138,101,1.72265625,0.43492242,0,0.001456413,0.9999000000000001
9,multi-cutcat-unif,498,134,106,1.2216796875,0.239850676,0,0.001450903,1.0
9,multi-cutcat-unif,492,175,714,1.1396484375,0.197483162,0,0.002819341,1.0
10,multi-cutcat-unif,1011,198,138,1.1357421875,0.22290059,0,0.001165464,0.9994
10,multi-cutcat-unif,492,167,650,1.1396484375,0.193631279,0,0.002668866,1.0
10,multi-cutcat-unif,492,167,107,1.3779296875,0.30408187,0,0.001378116,1.0
10,multi-cutcat-unif,498,106,105,1.22265625,0.199775285,0,0.00148083,1.0
10,multi-cutcat-unif,498,198,104,1.1982421875,0.218737749,0,0.001040648,0.9965999999999999
10,multi-cutcat-unif,508,118,122,1.0732421875,0.147417562,0,0.001015119,0.9971
10,multi-cutcat-unif,498,138,104,1.2216796875,0.232168432,0,0.001347518,1.0
10,multi-cutcat-unif,492,183,650,1.1357421875,0.210148228,0,0.002659538,1.0
10,multi-cutcat-unif,498,134,106,1.2216796875,0.239850676,0,0.001450903,1.0
10,multi-cutcat-unif,1004,167,650,1.1396484375,0.187168691,0,0.002744158,1.0
0,single-cutcat-tour,167,575,946,1.0107421875,0.429206137,0,0.004119218,1.0
0,single-cutcat-tour,471,754,363,1.1201171875,0.585719871,0,0.002334815,1.0
0,single-cutcat-tour,494,963,367,1.4130859375,1.293734913,0,0.002661131,1.0
0,single-cutcat-tour,929,305,943,1.8779296875,1.049024568,0,0.005709545,1.0
0,single-cutcat-tour,903,518,537,1.05859375,0.418483825,0,0.002569298,1.0
0,single-cutcat-tour,663,652,646,1.7431640625,3.188962019,0,0.005283299,1.0
0,single-cutcat-tour,480,690,693,1.1943359375,0.597841254,0,0.002888311,1.0
0,single-cutcat-tour,590,611,482,1.1962890625,0.541543672,0,0.002280692,1.0
0,single-cutcat-tour,887,884,621,1.619140625,2.273848071,0,0.004405639,1.0
0,single-cutcat-tour,1007,328,107,1.0380859375,0.312893652,0,0.001129887,0.9983
1,single-cutcat-tour,471,754,363,1.1201171875,0.585719871,0,0.002334815,1.0
1,single-cutcat-tour,997,201,114,1.5341796875,0.477376936,0,0.002014258,1.0
1,single-cutcat-tour,743,847,130,1.0419921875,0.593800953,0,0.001311019,0.9994
1,single-cutcat-tour,167,570,883,1.1005859375,0.460833948,0,0.003503414,1.0
1,single-cutcat-tour,1007,327,130,1.0107421875,0.282254704,0,0.001070023,0.9991
1,single-cutcat-tour,999,287,128,1.0107421875,0.259257413,0,0.001107154,0.9989000000000001
1,single-cutcat-tour,687,336,1074,1.0458984375,0.299671875,0,0.003700847,1.0
1,single-cutcat-tour,487,586,939,1.0068359375,0.427924275,0,0.003521359,1.0
1,single-cutcat-tour,167,575,946,1.0107421875,0.429206137,0,0.004119218,1.0
1,single-cutcat-tour,903,518,537,1.05859375,0.418483825,0,0.002569298,1.0
2,single-cutcat-tour,687,336,1074,1.0458984375,0.299671875,0,0.003700847,1.0
2,single-cutcat-tour,471,754,363,1.1201171875,0.585719871,0,0.002334815,1.0
2,single-cutcat-tour,997,201,114,1.5341796875,0.477376936,0,0.002014258,1.0
2,single-cutcat-tour,487,586,939,1.0068359375,0.427924275,0,0.003521359,1.0
2,single-cutcat-tour,743,775,130,1.0419921875,0.553033273,0,0.001278558,0.9994
2,single-cutcat-tour,743,847,130,1.0419921875,0.593800953,0,0.001311019,0.9994
2,single-cutcat-tour,1007,336,242,1.0419921875,0.298668801,0,0.001609242,0.9999000000000001
2,single-cutcat-tour,903,518,537,1.05859375,0.418483825,0,0.002569298,1.0
2,single-cutcat-tour,167,570,883,1.1005859375,0.460833948,0,0.003503414,1.0
2,single-cutcat-tour,997,201,146,1.0341796875,0.208471132,0,0.001242359,0.9995
3,single-cutcat-tour,965,169,106,1.5341796875,0.402470092,0,0.002041029,1.0
3,single-cutcat-tour,743,775,130,1.0419921875,0.553033273,0,0.001278558,0.9994
3,single-cutcat-tour,999,456,210,1.1083984375,0.414472074,0,0.001547225,1.0
3,single-cutcat-tour,743,847,130,1.0419921875,0.593800953,0,0.001311019,0.9994
3,single-cutcat-tour,677,329,1074,1.0419921875,0.300088766,0,0.003724121,1.0
3,single-cutcat-tour,997,201,114,1.0341796875,0.20426537,0,0.001063942,0.9979
3,single-cutcat-tour,997,201,146,1.0341796875,0.208471132,0,0.001242359,0.9995
3,single-cutcat-tour,993,144,114,1.6591796875,0.365572846,0,0.001777471,1.0
3,single-cutcat-tour,1007,336,242,1.0419921875,0.298668801,0,0.001609242,0.9999000000000001
3,single-cutcat-tour,1007,336,178,1.0458984375,0.298767738,0,0.001429743,0.9999000000000001
4,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
4,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
4,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
4,single-cutcat-tour,965,169,106,1.5341796875,0.402470092,0,0.002041029,1.0
4,single-cutcat-tour,741,713,146,1.1591796875,0.583097077,0,0.001399637,0.9995
4,single-cutcat-tour,999,456,210,1.1083984375,0.414472074,0,0.001547225,1.0
4,single-cutcat-tour,999,200,178,1.0458984375,0.204885175,0,0.001196372,0.9999000000000001
4,single-cutcat-tour,993,345,146,1.1083984375,0.316131221,0,0.001205208,0.9995
4,single-cutcat-tour,999,969,115,1.0966796875,0.665035103,0,0.001198236,0.9989
4,single-cutcat-tour,677,329,1074,1.0419921875,0.300088766,0,0.003724121,1.0
5,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
5,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
5,single-cutcat-tour,1005,201,208,1.1025390625,0.218915452,0,0.001365732,0.9999000000000001
5,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
5,single-cutcat-tour,999,200,178,1.0458984375,0.204885175,0,0.001196372,0.9999000000000001
5,single-cutcat-tour,487,200,210,1.0322265625,0.210973284,0,0.001448839,0.9999000000000001
5,single-cutcat-tour,993,345,146,1.1083984375,0.316131221,0,0.001205208,0.9995
5,single-cutcat-tour,455,200,114,1.1064453125,0.213264476,0,0.001075674,0.9979
5,single-cutcat-tour,967,456,178,1.1044921875,0.394911463,0,0.001366674,1.0
5,single-cutcat-tour,999,969,115,1.0966796875,0.665035103,0,0.001198236,0.9989
6,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
6,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
6,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
6,single-cutcat-tour,997,165,656,1.0888671875,0.188583643,0,0.002672252,1.0
6,single-cutcat-tour,1005,201,208,1.1025390625,0.218915452,0,0.001365732,0.9999000000000001
6,single-cutcat-tour,997,427,208,1.0478515625,0.372146902,0,0.001498614,1.0
6,single-cutcat-tour,487,200,210,1.0322265625,0.210973284,0,0.001448839,0.9999000000000001
6,single-cutcat-tour,999,200,178,1.0458984375,0.204885175,0,0.001196372,0.9999000000000001
6,single-cutcat-tour,993,345,146,1.1083984375,0.316131221,0,0.001205208,0.9995
6,single-cutcat-tour,967,456,178,1.1044921875,0.394911463,0,0.001366674,1.0
7,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
7,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
7,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
7,single-cutcat-tour,997,165,656,1.0888671875,0.188583643,0,0.002672252,1.0
7,single-cutcat-tour,967,208,160,1.0888671875,0.229732575,0,0.001238742,0.9997
7,single-cutcat-tour,965,421,178,1.0498046875,0.431918296,0,0.001340765,1.0
7,single-cutcat-tour,997,427,208,1.0478515625,0.372146902,0,0.001498614,1.0
7,single-cutcat-tour,999,200,178,1.0458984375,0.204885175,0,0.001196372,0.9999000000000001
7,single-cutcat-tour,993,345,146,1.1083984375,0.316131221,0,0.001205208,0.9995
7,single-cutcat-tour,487,164,658,1.0927734375,0.199812705,0,0.002666982,1.0
8,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
8,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
8,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
8,single-cutcat-tour,997,165,656,1.0888671875,0.188583643,0,0.002672252,1.0
8,single-cutcat-tour,967,208,160,1.0888671875,0.229732575,0,0.001238742,0.9997
8,single-cutcat-tour,965,421,178,1.0498046875,0.431918296,0,0.001340765,1.0
8,single-cutcat-tour,999,200,178,1.0458984375,0.204885175,0,0.001196372,0.9999000000000001
8,single-cutcat-tour,487,164,658,1.0927734375,0.199812705,0,0.002666982,1.0
8,single-cutcat-tour,484,200,144,1.0322265625,0.210489852,0,0.001181123,0.9996
8,single-cutcat-tour,487,200,114,1.0380859375,0.212944082,0,0.001106182,0.9979
9,single-cutcat-tour,997,201,144,1.0322265625,0.209329729,0,0.001085413,0.9996
9,single-cutcat-tour,455,200,114,1.0888671875,0.213037719,0,0.001052069,0.9979
9,single-cutcat-tour,999,456,178,1.1083984375,0.407439053,0,0.001386882,1.0
9,single-cutcat-tour,967,208,160,1.0888671875,0.229732575,0,0.001238742,0.9997
9,single-cutcat-tour,965,421,178,1.0498046875,0.431918296,0,0.001340765,1.0
